Name,Team,Age,WAR,IP,FA% (pfx),vFA (pfx),FA-X (pfx),FA-Z (pfx),FT% (pfx),vFT (pfx),FT-X (pfx),FT-Z (pfx),FC% (pfx),vFC (pfx),FC-X (pfx),FC-Z (pfx),FS% (pfx),vFS (pfx),FS-X (pfx),FS-Z (pfx),SI% (pfx),vSI (pfx),SI-X (pfx),SI-Z (pfx),SL% (pfx),vSL (pfx),SL-X (pfx),SL-Z (pfx),CU% (pfx),vCU (pfx),CU-X (pfx),CU-Z (pfx),CH% (pfx),vCH (pfx),CH-X (pfx),CH-Z (pfx),playerid
Kwang-hyun Kim,Cardinals,31,0.6,38,48.70%,89.8,0.8,9.1,,,,,,,,,,,,,,,,,30.80%,83.2,-2.5,1.8,11.80%,70.3,-2.4,-4.7,8.60%,80.2,6.4,7.8,27458
Shane Bieber,Indians,25,3.2,77.1,37.40%,94.1,-5.5,10.6,,,,,16.20%,89.3,0.5,5.4,,,,,,,,,11.60%,84.5,0.2,-2.1,,,,,8.50%,88.7,-9.4,3,19427
Corbin Burnes,Brewers,25,2.3,47,2.50%,95.8,-1.6,9.4,,,,,35.30%,93.1,2.3,5.8,,,,,29.20%,95.9,-6.6,7.8,13.00%,86.7,4,0.6,8.80%,81.2,6,-3,11.30%,88.9,-6.9,4.4,19361
Trevor Bauer,Reds,29,2.5,73,40.40%,93.5,-5.7,11.4,,,,,19.90%,85,2.6,-0.5,,,,,7.40%,93.3,-8.1,11.1,16.30%,80.7,9.3,-1.7,,,,,0.30%,84.3,-6.7,5.8,12703
Tony Gonsolin,Dodgers,26,1.8,41.2,47.50%,95.1,-5.5,10.8,,,,,,,,,29.60%,85.2,-8.8,5.1,,,,,16.30%,87.5,1.8,1.4,6.60%,81.7,2.1,-7.5,,,,,19388
Ian Anderson,Braves,22,1.1,32.1,46.90%,94.1,-3.1,10.9,,,,,,,,,,,,,1.40%,93.8,-6.4,10.8,,,,,20.80%,80.1,0.4,-3.4,30.80%,87.4,-6.2,7.6,19951
Dallas Keuchel,White Sox,32,1.8,63.1,2.00%,88.6,1.5,8.2,,,,,31.00%,84.8,-1,4.7,,,,,32.50%,87.2,7.4,4.1,6.60%,75.8,-4,-0.3,,,,,27.90%,78.6,8.3,3.9,9434
Yu Darvish,Cubs,33,3,76,15.40%,95.8,-4,10.7,,,,,44.30%,87.1,2,0.4,4.10%,89.5,-6.9,6.2,9.50%,95,-8.5,7.3,15.60%,82,7.8,-1.2,3.70%,72.8,5.6,-8.5,,,,,13074
Dinelson Lamet,Padres,27,2.4,69,36.70%,97,-4,10.2,,,,,,,,,,,,,9.90%,97,-7.5,9.9,53.40%,86.5,1.9,1.7,,,,,,,,,17186
Clayton Kershaw,Dodgers,32,1.4,58.1,41.10%,91.6,0.1,11.6,,,,,,,,,,,,,,,,,39.90%,87.8,-2.2,5.1,18.80%,74.1,-2.2,-8.9,0.20%,86.9,6.9,10.1,2036
Max Fried,Braves,26,1.5,56,42.00%,93.1,1.2,6.6,,,,,,,,,,,,,9.90%,92.5,6.7,5.5,20.70%,84,-6.4,0,22.50%,74.3,-5.8,-10,4.90%,83.1,6.2,3.3,13743
Zach Plesac,Indians,25,1.5,55.1,37.60%,92.8,-4.7,9.9,,,,,,,,,,,,,,,,,27.80%,86.3,0.5,3.5,9.30%,79.1,0.7,-3.3,25.30%,86,-7.1,5.7,19979
Chris Bassitt,Athletics,31,1.3,63,16.50%,93.3,-4.9,8.5,,,,,23.00%,87.8,0.4,4.7,,,,,38.20%,92.6,-9.3,6.9,2.60%,74.5,7.1,-1.3,9.40%,70,6.7,-8.6,10.30%,83.6,-10.2,5.5,12304
Jacob deGrom,Mets,32,2.6,68,44.90%,98.6,-4.4,9.7,,,,,,,,,,,,,,,,,35.60%,92.5,1.6,3.1,2.60%,83.9,3.9,-2.5,16.90%,91.4,-7.9,2.4,10954
Brad Keller,Royals,24,1.3,54.2,38.30%,92.8,1,7.6,,,,,,,,,,,,,23.30%,92.1,-5.6,5.3,38.20%,84.6,3.1,-2.8,,,,,0.10%,87.9,-7,4.4,15734
Steven Brault,Pirates,28,0.8,42.2,38.50%,92.3,5.6,9,,,,,,,,,,,,,11.90%,91.2,8.5,5,22.40%,83,-2.9,-1,2.70%,73.9,-6.7,-3.1,24.50%,85,7.6,2.1,15291
Merrill Kelly,Diamondbacks,31,0.6,31.1,24.70%,92.1,-4.1,9.4,,,,,20.10%,90.8,-0.8,7.9,,,,,17.50%,91.8,-9.6,5.3,,,,,22.20%,81.2,4.7,-6.1,15.40%,87.5,-9.9,4.2,11156
Hyun-Jin Ryu,Blue Jays,33,1.9,67,24.10%,89.8,6.3,7.8,,,,,24.20%,85.5,-0.2,4.1,,,,,10.60%,89.2,9.5,5.7,,,,,13.30%,72.4,-6.7,-8,27.80%,79.6,8.2,3.7,14444
Taijuan Walker,- - -,27,0.6,53.1,38.30%,93.2,-4.5,10.9,,,,,21.50%,85.2,2.1,2.7,18.70%,89,-8.1,5.7,11.30%,93.1,-8.7,8.3,,,,,10.10%,74.6,4.8,-8.7,,,,,11836
Kenta Maeda,Twins,32,2.1,66.2,19.40%,91.6,-5.2,8.8,,,,,2.60%,87.2,0.2,4.2,,,,,6.40%,90.7,-9.8,5.4,38.60%,82.9,1,3.9,3.40%,78.5,3.3,-4.8,29.50%,84.5,-7.7,1.6,18498
Zach Davies,Padres,27,1.4,69.1,,,,,,,,,13.60%,86.9,-3.7,7.9,,,,,42.20%,88.4,-8.9,7.4,,,,,2.80%,74.5,4.7,-6.5,41.30%,79.4,-8.9,4.9,13183
Jose Urquidy,Astros,25,0.3,29.2,54.50%,93.1,-4.6,11.5,,,,,,,,,,,,,,,,,12.80%,79.3,8.3,1.1,12.10%,76.9,5.7,-8.3,20.50%,84.3,-9.9,6.1,18413
Zac Gallen,Diamondbacks,24,1.5,72,39.00%,93.2,-3.1,10.5,,,,,25.70%,87,2.6,2.2,,,,,0.20%,92.9,-8.9,9.3,,,,,,,,,19.00%,84.9,-8.5,2.3,19291
Dakota Hudson,Cardinals,25,0.4,39,22.80%,92.6,-3.5,5.8,,,,,,,,,,,,,36.30%,93,-8.5,6.7,20.00%,88.3,-0.9,3.9,18.70%,82.1,2.8,-1.9,2.20%,86.6,-7.6,5.8,19206
