Name,Team,Age,WAR,IP,FA% (pfx),vFA (pfx),FA-X (pfx),FA-Z (pfx),FT% (pfx),vFT (pfx),FT-X (pfx),FT-Z (pfx),FC% (pfx),vFC (pfx),FC-X (pfx),FC-Z (pfx),FS% (pfx),vFS (pfx),FS-X (pfx),FS-Z (pfx),SI% (pfx),vSI (pfx),SI-X (pfx),SI-Z (pfx),SL% (pfx),vSL (pfx),SL-X (pfx),SL-Z (pfx),CU% (pfx),vCU (pfx),CU-X (pfx),CU-Z (pfx),CH% (pfx),vCH (pfx),CH-X (pfx),CH-Z (pfx),playerid
Gerrit Cole,Yankees,29,1.4,73,52.80%,96.7,-7.6,10.4,,,,,,,,,,,,,,,,,24.40%,88.7,2.2,2.3,,,,,5.60%,88.3,-9.4,6.3,13125
Kyle Hendricks,Cubs,30,1.9,81.1,20.10%,87.4,-3.8,8.6,,,,,,,,,,,,,34.40%,87.3,-7.7,5.7,,,,,16.60%,72.1,7.6,-7.6,28.90%,79.7,-7,6.9,12049
Dustin May,Dodgers,22,0.4,46.2,4.70%,99,-6.8,8.3,,,,,27.60%,93.7,-0.8,4.4,,,,,50.00%,97.8,-11.4,4.8,,,,,12.60%,86.8,4.7,-2.9,5.10%,90.6,-9.5,2.5,19716
Mitch Keller,Pirates,24,-0.2,21.2,55.90%,93.9,-4.5,9.7,,,,,,,,,,,,,,,,,21.70%,86.9,1.8,2.8,19.10%,78.1,4,-7.9,3.10%,88.8,-7.8,5.1,17594
Carlos Carrasco,Indians,33,1.5,68,34.00%,93.8,-5.5,8.8,,,,,,,,,,,,,4.50%,92.4,-9.3,4.6,28.30%,85.9,1.8,0.5,5.20%,83.1,4.9,-4.8,28.00%,87.7,-4.4,1.5,6632
Zack Wheeler,Phillies,30,2,71,40.80%,97,-3.7,8.2,,,,,,,,,,,,,24.40%,96.6,-8.4,7.3,16.30%,89.8,1.8,2,10.30%,80.2,5.4,-7,8.30%,90.1,-7.4,6.6,10310
Sandy Alcantara,Marlins,24,0.9,42,20.70%,96.8,-5.8,9.1,,,,,,,,,,,,,39.50%,96.2,-9.9,5.7,27.00%,86.9,0.9,1.1,4.20%,79.7,3.8,-2.6,8.70%,89.8,-10,2.6,18684
Mike Clevinger,- - -,29,0.7,41.2,39.90%,95.1,-4.3,10.3,,,,,6.50%,88.3,1.8,3.4,,,,,,,,,32.80%,81.7,7.1,0.3,12.50%,78.7,1.8,-6,8.30%,87.2,-6.4,7.1,12808
Rich Hill,Twins,40,0.7,38.2,44.30%,87.7,6,10.8,,,,,3.60%,83.2,-1.3,3.9,,,,,2.70%,86.3,11,4,3.70%,71.2,-11.6,-3.3,42.60%,72.7,-10.4,-7.6,0.20%,79.8,6.5,6.9,4806
Brandon Woodruff,Brewers,27,2.1,73.2,34.30%,96.6,-4.2,10,,,,,,,,,,,,,30.90%,96.3,-8.1,8.1,10.80%,88.2,1.1,0.8,6.50%,83.6,1.8,-5.4,17.50%,86.7,-9.1,5.6,16162
Marco Gonzales,Mariners,28,2,69.2,,,,,,,,,24.30%,84.8,0.7,5.8,,,,,45.30%,88.2,7,9.9,,,,,16.10%,75.3,-4.2,-7.9,14.30%,80.6,10.4,5.4,15467
Adam Wainwright,Cardinals,38,1,65.2,9.70%,89.2,-1.8,8.4,,,,,23.10%,85.1,2.9,3.7,,,,,26.50%,89.3,-7.4,6.8,,,,,38.30%,73.5,9.3,-8.1,2.50%,81.8,-8,4.2,2233
Elieser Hernandez,Marlins,25,0.5,25.2,58.90%,91.3,-4.7,10.3,,,,,,,,,,,,,,,,,35.10%,79.1,6.1,6,,,,,6.00%,83.6,-7.3,5.4,16933
Josh Fleming,Rays,24,0.2,25.2,0.80%,90.6,7,7.9,,,,,,,,,,,,,54.40%,90.5,11,4.1,29.20%,85.3,0.6,3.7,1.00%,77.8,0.7,-1.5,14.60%,81.6,8.5,1.1,20418
Luis Castillo,Reds,27,2.4,70,27.10%,97.4,-7.1,7.1,,,,,,,,,,,,,25.20%,97.5,-11,2.6,17.70%,86.8,-0.9,0.3,,,,,30.00%,88.2,-10.1,0.7,15689
Blake Snell,Rays,27,0.6,50,50.60%,95,3.8,11,,,,,,,,,,,,,,,,,15.00%,87.4,-1.3,2.6,14.60%,80.1,-4.8,-4.9,19.80%,88,7.8,7.1,13543
Tyler Mahle,Reds,25,1.1,44.1,55.00%,93.9,-7.8,10,,,,,,,,,11.80%,87.4,-8.4,6.3,,,,,32.20%,86.9,1.3,2,1.00%,81.6,2.3,0.5,,,,,16358
Aaron Nola,Phillies,27,2,71.1,25.10%,92.9,-8.5,7.8,,,,,,,,,,,,,21.10%,91.8,-10.6,4.6,,,,,,,,,27.10%,84.9,-8.7,1.5,16149
Dylan Bundy,Angels,27,2,65.2,33.50%,90,-3.4,11.1,,,,,,,,,,,,,8.40%,90.6,-7.8,9.4,25.00%,79.9,1.6,-0.4,11.70%,73.5,4,-7.4,21.30%,82.2,-7.9,5,12917
Lance Lynn,Rangers,33,1.5,84,49.90%,94,-4.7,9,,,,,22.10%,89.4,0.2,4.1,,,,,18.00%,92,-8.3,4.4,,,,,8.30%,83.9,1.5,-1.9,1.10%,84.6,-5,4.9,2520
Michael Pineda,Twins,31,1.1,26.2,50.10%,92.1,-4.7,8.8,,,,,,,,,,,,,,,,,38.50%,82.4,-0.7,1,,,,,11.40%,85.6,-9.8,4.5,5372
Antonio Senzatela,Rockies,25,1.1,73.1,55.90%,94.3,-4,6.3,,,,,,,,,,,,,,,,,25.20%,86.3,2.1,1.3,8.50%,79.1,3.7,-3.6,10.40%,86.4,-5.3,5.3,15488
Walker Buehler,Dodgers,25,0.5,36.2,53.80%,96.8,-3.3,11.3,,,,,15.20%,92.5,2.9,5.7,,,,,8.70%,97.2,-8.2,8.9,6.70%,87,5.7,-1.2,,,,,,,,,19374
Sixto Sanchez,Marlins,21,1,39,24.10%,98.6,-6.9,7.9,,,,,,,,,,,,,22.00%,96.8,-10.4,3.4,17.50%,89.2,1.6,2.7,8.10%,85.9,3.3,-0.6,28.40%,89,-10.5,2.3,19680
J.A. Happ,Yankees,37,0.6,49.1,44.20%,91.6,5.1,10.4,,,,,,,,,,,,,20.10%,89.4,8,5.4,18.60%,84.2,-0.8,3.1,1.40%,80.8,-1.4,0.2,15.80%,86.6,8.9,5.9,7410
Lucas Giolito,White Sox,25,2,72.1,50.60%,94,-4.5,10.9,,,,,,,,,,,,,,,,,14.70%,84.9,1.4,2.5,1.00%,77.3,2.6,-8.5,33.70%,80.9,-5.4,7.6,15474
Julio Urias,Dodgers,23,1.1,49,57.20%,94.2,2.9,10.2,,,,,,,,,,,,,0.50%,93.9,7.2,8.6,6.10%,86.3,-2,2.7,19.40%,80.5,-8.8,-1.5,13.60%,84.7,8.8,4.6,14765
Masahiro Tanaka,Yankees,31,0.8,48,23.80%,92.3,-5.9,9.5,,,,,,,,,25.10%,87.2,-7.7,4.9,7.40%,91.6,-9.7,6.2,37.80%,84,1,2.1,5.90%,75,3.6,-3.1,,,,,15764
Justus Sheffield,Mariners,24,1.6,55.1,0.50%,92.8,4.7,7.2,,,,,,,,,,,,,47.60%,91.9,9.3,4.5,33.50%,81.8,-2.7,-0.7,,,,,18.40%,86.3,8.7,1.4,17285
Pablo Lopez,Marlins,24,1.6,57.1,31.50%,93.9,-4.5,7.8,,,,,9.20%,90.9,-1.1,5.1,,,,,22.50%,93.4,-9.5,4.4,,,,,7.00%,78.7,7.8,-4,29.90%,87.2,-10.2,2.1,17085
Kevin Gausman,Giants,29,1.6,54.2,49.20%,95.2,-6.5,9.3,,,,,,,,,41.70%,84.3,-7.8,3.1,2.30%,94.2,-9.4,9.5,6.80%,82,0.6,0.1,,,,,,,,,14107
Triston McKenzie,Indians,22,0.4,29.1,53.60%,92.7,-3.1,11.7,,,,,,,,,,,,,,,,,18.90%,86.1,0.6,3.3,16.90%,80.2,3.1,-3.2,10.60%,86.8,-5.9,6.9,18000
Cristian Javier,Astros,23,0.3,51.1,62.60%,92.2,-4.4,10.3,,,,,,,,,,,,,,,,,26.80%,78.5,6.6,1.5,3.10%,75.9,6.2,-6,7.40%,85.9,-9.6,5.2,17606
Sonny Gray,Reds,30,1.7,56,26.80%,93,-1.8,8.8,,,,,,,,,,,,,25.90%,93,-7.5,6.2,16.20%,82.8,9.1,-2.9,27.60%,80.8,8.5,-7,3.50%,89.8,-8,7.1,12768
Nathan Eovaldi,Red Sox,30,0.9,48.1,37.70%,97.3,-6.9,8.1,,,,,31.10%,91.2,0.6,3.7,14.00%,87.9,-5.8,1.1,,,,,,,,,17.10%,79.6,4.4,-4.3,,,,,9132
Max Scherzer,Nationals,35,1.8,67.1,46.00%,94.7,-6.9,9.1,,,,,9.70%,91.1,-1.5,5.2,,,,,,,,,19.00%,85.5,1.3,1.6,9.20%,77.2,7.4,-5.1,16.10%,84.9,-9,1.8,3137
David Peterson,Mets,24,0.5,45.2,37.60%,92.1,7,8.1,,,,,,,,,,,,,15.70%,91.7,9.8,6.7,27.90%,81.4,-2.8,-0.5,2.40%,74.4,-4,-4.4,16.50%,83.5,10.1,4.9,20302
German Marquez,Rockies,25,2.3,81.2,37.80%,95.9,-4.5,8.1,,,,,,,,,,,,,14.40%,94.7,-8,5.7,17.40%,87.9,-0.4,2.6,,,,,5.30%,86.8,-8.2,5.7,15038
Drew Smyly,Giants,31,0.9,21.1,45.40%,93.6,3.8,10.8,,,,,17.20%,89.1,0.4,6.3,,,,,,,,,,,,,37.40%,79.8,2.5,-1.5,,,,,11760
Jesus Luzardo,Athletics,22,0.7,49.1,32.80%,95.4,9.3,7.9,,,,,,,,,,,,,21.00%,95.4,11.4,5.2,,,,,21.40%,83.7,0.4,0,24.80%,87.3,10.7,3.1,19959
Joe Musgrove,Pirates,27,1,39.2,28.40%,92.6,-3.7,7.4,,,,,6.10%,88.2,1.1,4.1,,,,,10.70%,92.1,-7,3.5,24.40%,82.5,7.1,-0.5,19.90%,80.9,5.6,-6.9,10.50%,86.4,-7.8,3.1,12970
Daniel Castano,Marlins,25,0.1,23.1,40.20%,89.4,2.7,6.7,,,,,,,,,,,,,9.50%,87.8,6.6,6.1,25.40%,79.1,-3.5,0,,,,,24.90%,81.3,7,8,19805
Jaime Barria,Angels,23,0.4,23,35.80%,91.9,-3.8,9,,,,,,,,,,,,,11.10%,92.1,-8.4,8,44.50%,84.3,1.4,3.3,,,,,8.60%,84,-5.6,6.1,18356
Framber Valdez,Astros,26,1.8,64.1,1.80%,92.9,1.6,6,,,,,,,,,,,,,55.30%,93.1,7.4,3.6,,,,,33.30%,80.6,-7.2,-7.7,9.60%,88.8,7.7,1.9,17295
Lance McCullers Jr.,Astros,26,1.1,55,1.70%,93.6,-5,5,,,,,1.60%,91.2,-0.5,4.7,,,,,40.70%,93.8,-9.1,4.3,,,,,,,,,18.40%,86.3,-10.1,1.2,14120
Dane Dunning,White Sox,25,0.7,34,21.00%,91.8,-4,8.3,,,,,,,,,,,,,39.40%,91.9,-8.9,4.5,21.70%,81.5,1.1,-2.5,,,,,11.00%,85.6,-9.2,5.6,19409
Spencer Turnbull,Tigers,27,1.4,56.2,45.10%,93.7,-1.7,6.5,,,,,,,,,,,,,20.90%,94.8,-9.1,4,20.90%,85.3,3.2,-0.5,4.00%,79.3,5.4,-6.6,9.10%,87.2,-10.2,0.8,16207
Griffin Canning,Angels,24,0.8,56.1,40.70%,92.8,-5.4,10.5,,,,,,,,,,,,,,,,,20.40%,88.6,-0.4,4.7,22.60%,86.6,-0.9,-1,15.00%,87.9,-9.1,5.2,19867
Jose Berrios,Twins,26,1.1,63,27.00%,94.5,-7.3,8.8,,,,,,,,,,,,,24.50%,93.9,-10,6.1,,,,,29.80%,83.3,7.2,-1.4,18.80%,84.7,-8,2.6,14168
Dylan Cease,White Sox,24,-0.4,58.1,47.80%,97.5,-3,9.3,,,,,,,,,,,,,,,,,30.10%,85,3.4,-2.1,,,,,12.70%,82.9,-3.9,8.6,18525
Zack Greinke,Astros,36,2.1,67,40.80%,88.1,-1,10.3,,,,,,,,,,,,,,,,,15.90%,84.5,3.3,3.6,10.70%,71.6,5.7,-6.1,27.50%,84.7,-6.5,4.1,1943
Keegan Akin,Orioles,25,0.9,22.1,61.90%,91.8,7.1,10.6,,,,,,,,,,,,,,,,,19.60%,78.7,-3.4,-3.4,,,,,18.50%,81.3,9.7,4.9,19362
Ryan Yarbrough,Rays,28,0.6,46.2,,,,,,,,,36.90%,82.9,-0.6,4.4,,,,,22.60%,87.3,8.9,6.8,,,,,8.60%,71,-8.7,1.2,31.90%,78.5,10.2,3.7,16502
Randy Dobnak,Twins,25,0.8,46.2,4.50%,92.9,-6.9,4.4,,,,,,,,,,,,,44.10%,91.4,-9,-0.4,35.30%,83.4,0.2,0,,,,,16.00%,85.6,-9.4,1.8,23798
Trevor Cahill,Giants,32,0.2,20,11.50%,90.8,-5.4,7,,,,,14.60%,85.2,-0.5,1.6,,,,,28.30%,90.9,-9.9,4.5,,,,,,,,,29.10%,82.8,-8.4,1.4,6249
Brady Singer,Royals,23,1,64.1,0.70%,93,-5.2,7,,,,,,,,,,,,,57.10%,93.3,-8.2,7,37.40%,83.1,2.2,-0.8,,,,,4.70%,87.8,-9.2,6.2,25377
Tyler Glasnow,Rays,26,1.2,57.1,60.60%,96.9,-0.9,10.3,,,,,,,,,,,,,,,,,,,,,34.80%,82.4,3.1,-9.8,4.70%,91.1,-7.4,6.4,14374
Zach Eflin,Phillies,26,1.5,56.1,9.90%,94.3,-7,7.9,,,,,,,,,,,,,51.10%,93.7,-10.4,4.9,20.20%,88.5,-0.2,3.7,13.30%,79,5.6,-3.8,5.50%,87.8,-9.1,4.8,13774
Brett Anderson,Brewers,32,0.6,47,2.70%,90.3,5.9,9.3,,,,,12.00%,87.3,1.2,6.5,,,,,40.00%,89.7,8.9,6.8,11.30%,82.1,-0.9,-3,,,,,23.90%,82.7,8.2,5.7,8223
Garrett Richards,Padres,32,0.7,46.1,47.20%,95.1,-0.6,6.3,,,,,,,,,,,,,8.60%,95.2,-6.4,6.4,36.80%,88.4,0.9,-1.3,7.50%,80,5.4,-10.9,,,,,9784
Alex Cobb,Orioles,32,0.6,52.1,48.10%,92.5,-8.9,7.9,,,,,,,,,35.20%,86.9,-7.7,2.9,,,,,,,,,,,,,,,,,6562
Kris Bubic,Royals,22,0.5,50,52.60%,91.5,3.7,9.4,,,,,,,,,,,,,1.60%,90.7,6.3,8.9,,,,,15.90%,78.5,-5.3,-6.8,29.90%,79.6,7.4,5.8,21455
Kyle Freeland,Rockies,27,1,70.2,20.60%,92.2,4.6,8.2,,,,,,,,,,,,,11.60%,91.7,8.7,4.1,23.70%,86.2,-0.4,2.6,18.90%,80.3,-1.9,-4.2,25.30%,86.1,6.7,3,16256
Justin Dunn,Mariners,24,-0.3,45.2,49.90%,91.2,-4.9,10,,,,,,,,,,,,,4.60%,91.6,-7.5,9.6,15.00%,83.1,3.2,-0.2,24.20%,79.4,7.6,0.9,6.20%,87.1,-7.1,7,19268
Andrew Heaney,Angels,29,1.4,66.2,57.80%,91.5,8.9,9,,,,,,,,,,,,,,,,,,,,,24.80%,79.2,-2.3,-1.9,17.40%,83,10,4.7,15423
Nick Margevicius,Mariners,24,0.7,36.1,64.70%,89.8,3.1,10.6,,,,,,,,,,,,,,,,,15.20%,84.2,-1.4,3.1,11.10%,70.2,-4.6,-6.9,9.10%,82.1,6.7,4.2,20395
Alec Mills,Cubs,28,0.2,62.1,25.70%,89.8,-6.4,8.1,,,,,,,,,,,,,33.20%,90,-10.1,4.4,10.10%,77.5,8.3,-1.3,15.00%,66.6,6.4,-6.4,16.00%,80.8,-9.5,2.3,13834
Martin Perez,Red Sox,29,0.4,62,15.00%,92.2,6.7,8.6,,,,,32.10%,88.8,1,6.1,,,,,17.80%,91.9,10,5.9,,,,,9.40%,77.7,-2.6,-2.9,25.70%,83.6,8.5,5.6,6902
Sean Manaea,Athletics,28,1.1,54,54.40%,90.4,8.1,5.9,,,,,,,,,,,,,,,,,3.60%,84,-1.3,3,14.00%,77.4,-2.4,-0.5,28.00%,82.5,4.9,1.3,15873
John Means,Orioles,27,0.3,43.2,52.30%,93.8,4,11.5,,,,,,,,,,,,,,,,,10.30%,86.5,-2,3.9,12.60%,79,-7.4,-5.4,24.70%,84.9,7.9,10.3,16269
Chad Kuhl,Pirates,27,-0.1,41.1,1.60%,93.9,-4.5,9.2,,,,,,,,,,,,,42.80%,93.9,-8,7.2,33.60%,87.9,1.4,1.6,,,,,4.20%,88.2,-8.1,3.1,14975
Mike Fiers,Athletics,35,0.6,59,29.10%,88,-6.2,9.9,,,,,,,,,,,,,14.50%,88.2,-8.8,8.1,28.60%,84.3,-0.2,6.8,12.20%,72.7,5.6,-9.1,15.50%,82.1,-8.8,3.4,7754
Patrick Corbin,Nationals,30,1.2,65.2,22.50%,90,5.6,8.7,,,,,,,,,,,,,30.10%,90.1,8.5,7.6,40.30%,79.2,-1.3,0.9,2.10%,65,-1.1,-1.3,5.10%,77.3,6.5,6.5,9323
Danny Duffy,Royals,31,0.5,56,39.50%,92.1,3.7,10.5,,,,,,,,,,,,,14.30%,92.1,7.3,8.6,17.40%,82.6,-2.4,-0.4,13.90%,75.5,-4.4,-7.6,14.90%,83.8,8.3,6.5,3542
Tyler Anderson,Giants,30,0.8,54,41.40%,90.2,5.1,11.2,,,,,17.30%,84.9,-1.2,5.4,,,,,6.10%,89.5,9.4,7.7,,,,,2.00%,71.9,-1.3,-7.5,33.10%,80.9,6.9,8.7,12880
Matt Shoemaker,Blue Jays,33,0,28.2,18.60%,92.1,-5.4,9.9,,,,,,,,,32.50%,85.4,-6.4,3,25.60%,91.9,-9.5,6.5,18.40%,81.4,2.3,1.4,,,,,,,,,4776
Chris Paddack,Padres,24,0.3,59,58.30%,94.1,-6.4,9.7,,,,,3.30%,87.9,-0.1,3.5,,,,,,,,,,,,,7.40%,76.9,2.4,-9,31.00%,83.9,-8.7,4.4,20099
Charlie Morton,Rays,36,0.9,38,35.50%,93.4,-6.5,8.4,,,,,8.80%,85,1.8,1.5,1.20%,85.6,-11.2,1.2,21.80%,92.8,-10.8,4,,,,,32.70%,78.2,9.5,-5,,,,,4676
Aaron Civale,Indians,25,1.2,74,2.40%,91.2,-2.7,8.9,,,,,29.80%,87.3,2.6,5,,,,,29.00%,91.8,-8.1,6.8,8.40%,81.9,3.9,-1,21.10%,75.7,6.7,-9,9.20%,85.3,-9,5.2,19479
Jack Flaherty,Cardinals,24,0.6,40.1,44.40%,94,-4,8.8,,,,,,,,,,,,,11.30%,92,-7.3,4.9,28.70%,84.4,2.8,2,13.60%,77.3,6.7,-6.8,2.10%,85.7,-8.2,4.3,17479
Erick Fedde,Nationals,27,-0.3,40,13.30%,93.3,-3.3,5.3,,,,,17.70%,88.6,1.8,3.5,9.80%,86.7,-7.9,0.4,41.10%,93.3,-6,5.6,,,,,18.10%,79.4,6.4,-0.8,,,,,17425
Deivi Garcia,Yankees,21,0.8,34.1,59.60%,91.9,-5.3,10.6,,,,,,,,,,,,,,,,,9.00%,82.5,2.1,-1.1,14.50%,75.3,4.1,-9.8,16.90%,80.6,-8.4,6.7,20276
Daniel Ponce de Leon,Cardinals,28,0,32.1,61.00%,93.1,-5.7,11,,,,,13.40%,88,0.5,4.2,,,,,,,,,,,,,21.80%,77.6,4.3,-9.1,3.90%,86.2,-9.3,5.6,16110
Chris Mazza,Red Sox,30,0.2,23.1,13.10%,92.2,-5.5,6.3,,,,,31.50%,88.5,0.6,3.8,,,,,26.30%,91.9,-10.1,3.2,26.00%,82.1,3.4,0.3,,,,,3.10%,85,-6.5,-0.2,14151
Jake Arrieta,Phillies,34,0.5,44.1,0.10%,90.2,-4.6,7.6,,,,,,,,,,,,,52.40%,92,-10,5.5,23.20%,88.8,1.2,4.2,7.30%,81.8,6,-5.1,17.00%,87.3,-10.4,-0.3,4153
Taylor Clarke,Diamondbacks,27,0.2,23,48.60%,94.2,-3.6,11,,,,,,,,,,,,,,,,,26.90%,86.5,2,2.1,7.70%,79.2,3,-5.9,16.80%,88.7,-8.5,4.6,17611
Jordan Montgomery,Yankees,27,0.9,44,19.00%,92.6,4.5,9.6,,,,,7.10%,89.9,1.7,8,,,,,26.20%,92.5,8.7,7.8,,,,,22.10%,80.5,-0.2,-1.2,25.60%,83.2,5.8,8.8,16511
Jon Lester,Cubs,36,0.3,61,27.80%,89.4,5,9,,,,,31.80%,87.4,0.6,6.4,,,,,14.10%,88.6,8.4,4.4,,,,,12.80%,73.4,-5.3,-2.7,13.50%,83.4,8.3,4,4930
Yusei Kikuchi,Mariners,29,1.1,47,37.50%,95,4.4,10.8,,,,,40.30%,92.1,0.2,5.7,,,,,,,,,16.00%,83.3,-0.2,-0.5,,,,,6.30%,86.8,6.5,4,20633
Asher Wojciechowski,Orioles,31,0.1,31.1,43.90%,90.8,-3.6,10.6,,,,,,,,,,,,,,,,,21.90%,85.7,2.1,3.8,27.80%,78.1,8.2,-1.3,6.40%,84.6,-5.3,8,10836
Kyle Wright,Braves,24,-0.1,38,31.00%,94.3,-7.6,6.7,,,,,,,,,,,,,18.10%,93.9,-10.3,5.2,24.00%,88.3,0.6,3.3,13.30%,82.1,7,-3,13.60%,87.6,-9.3,4.3,19665
Mike Minor,- - -,32,1,55.2,50.30%,90.6,1.1,8.1,,,,,,,,,,,,,,,,,21.00%,85.6,-3,1.1,,,,,22.20%,85.4,9.8,6.8,10021
