Name,Team,Age,WAR,EV,LA,HardHit%,O-Swing%,Z-Contact%,Pull%,Cent%,Oppo%,playerid
Ketel Marte,Diamondbacks,24,2.6,88.8,5.8,36.50%,28.10%,90.40%,36.70%,39.20%,24.10%,13613
Mike Moustakas,- - -,29,2.4,89.5,19.9,39.10%,37.00%,88.40%,42.60%,34.20%,23.10%,4892
Teoscar Hernandez,Blue Jays,25,0.3,91.8,16.9,45.90%,32.20%,75.70%,37.70%,36.10%,26.30%,13066
Marcell Ozuna,Cardinals,27,2.8,91.4,10.8,44.40%,32.50%,87.00%,42.20%,35.30%,22.50%,10324
Jean Segura,Mariners,28,3.7,87.7,7.8,32.10%,34.60%,95.10%,35.70%,40.80%,23.50%,5933
Derek Dietrich,Marlins,28,0.7,87.4,15.8,37.70%,34.40%,85.90%,41.30%,33.80%,24.90%,10542
Andrelton Simmons,Angels,28,5.4,88.2,7.8,36.00%,28.00%,92.90%,51.00%,33.10%,15.90%,10847
Rougned Odor,Rangers,24,2.4,90.7,13.9,38.10%,35.40%,87.10%,46.60%,35.90%,17.50%,12282
Justin Bour,- - -,30,0.4,88.9,9.8,39.10%,29.80%,81.30%,41.70%,36.40%,21.90%,9744
Ozzie Albies,Braves,21,3.8,86.8,16.1,29.40%,38.20%,87.30%,44.80%,31.10%,24.10%,16556
Nomar Mazara,Rangers,23,0.9,90.5,5.3,43.10%,33.50%,85.20%,38.00%,36.70%,25.30%,14553
Yuli Gurriel,Astros,34,1.1,89.3,11.5,36.20%,37.10%,92.80%,41.20%,36.40%,22.50%,19198
Matt Duffy,Rays,27,2.5,86.8,4.8,27.80%,29.80%,92.50%,29.30%,37.80%,32.90%,13836
Yadier Molina,Cardinals,35,2.5,88.2,15.4,33.60%,38.50%,89.20%,49.60%,29.30%,21.10%,7007
DJ LeMahieu,Rockies,29,2.1,91.3,5.9,42.80%,26.00%,95.00%,29.80%,40.70%,29.60%,9874
Willson Contreras,Cubs,26,0.7,88.2,8,33.30%,34.40%,81.60%,42.00%,31.40%,26.60%,11609
Cesar Hernandez,Phillies,28,2.1,85.7,11.4,27.80%,20.30%,89.70%,40.30%,32.20%,27.50%,10556
Yonder Alonso,Indians,31,0.7,87.8,15.7,36.70%,32.90%,88.60%,43.70%,34.40%,21.90%,2530
Jose Peraza,Reds,24,2.6,85.8,15,23.50%,35.20%,95.60%,35.30%,36.00%,28.80%,13593
Joe Mauer,Twins,35,1.1,91.1,4.4,42.80%,21.00%,94.00%,25.50%,40.30%,34.20%,1857
Marwin Gonzalez,Astros,29,1.5,89.1,11.4,41.40%,31.90%,86.30%,44.10%,35.40%,20.50%,5497
Max Kepler,Twins,25,2.7,89.5,16.3,37.40%,24.90%,91.70%,43.10%,32.30%,24.60%,12144
Starlin Castro,Marlins,28,2.3,88.4,8.3,36.00%,30.30%,88.80%,40.20%,38.70%,21.10%,4579
Adam Jones,Orioles,32,0.4,88.3,13.2,32.80%,41.90%,89.10%,39.90%,33.60%,26.50%,6368
Ian Desmond,Rockies,32,-0.6,90.1,-0.1,43.20%,31.00%,81.70%,30.00%,40.80%,29.20%,6885
Odubel Herrera,Phillies,26,0.9,86.7,13,31.90%,39.60%,85.80%,38.80%,33.70%,27.40%,11476
Jonathan Villar,- - -,27,2,88.5,3.2,36.00%,30.80%,77.40%,38.40%,35.30%,26.30%,10071
Yoan Moncada,White Sox,23,2.1,91,15.4,44.10%,23.30%,79.80%,41.40%,32.90%,25.80%,17232
Jeimer Candelario,Tigers,24,2.5,87.2,15,33.30%,28.60%,85.20%,46.60%,30.20%,23.20%,13621
Jackie Bradley Jr.,Red Sox,28,2.8,92.2,12.3,50.10%,27.80%,79.10%,45.20%,34.30%,20.50%,12984
Eric Hosmer,Padres,28,-0.1,88.7,-1.5,37.30%,33.10%,85.70%,31.80%,39.20%,29.00%,3516
Ender Inciarte,Braves,27,3,84.9,10.8,18.90%,31.00%,90.30%,40.10%,35.30%,24.70%,4922
Jason Kipnis,Indians,31,2.1,86.9,17.8,30.60%,28.30%,90.10%,39.30%,36.50%,24.20%,9776
Trey Mancini,Orioles,26,-0.3,89.9,5.2,42.20%,34.40%,81.80%,38.00%,35.70%,26.30%,15149
Marcus Semien,Athletics,27,3.8,86.8,15.5,32.00%,26.20%,88.30%,46.70%,30.60%,22.70%,12533
Tucker Barnhart,Reds,27,-0.4,87.1,12.4,30.30%,28.80%,90.90%,44.30%,31.90%,23.80%,10200
Brandon Crawford,Giants,31,2,87.5,11.3,33.10%,32.60%,81.70%,33.10%,37.90%,29.00%,5343
Brett Gardner,Yankees,34,2.6,88,9.4,32.90%,21.70%,93.70%,36.10%,37.30%,26.60%,9927
Alex Gordon,Royals,34,1.6,88.5,10.9,39.60%,29.70%,87.00%,40.20%,34.20%,25.60%,5209
Salvador Perez,Royals,28,0.4,91.2,18,47.40%,48.40%,90.10%,46.70%,33.40%,19.90%,7304
Brian Dozier,- - -,31,0.9,86.8,17.5,28.40%,22.50%,85.70%,49.90%,33.80%,16.30%,9810
Kevin Pillar,Blue Jays,29,2,87.3,16.8,36.40%,43.50%,90.00%,40.70%,35.00%,24.30%,12434
Jon Jay,- - -,33,0.8,85.1,4.2,21.60%,35.70%,91.30%,33.40%,35.20%,31.40%,5227
Nick Ahmed,Diamondbacks,28,1.8,86.9,11.9,30.00%,34.20%,88.60%,39.00%,36.30%,24.70%,12147
Ian Kinsler,- - -,36,2.2,85.3,17.5,25.80%,27.10%,93.80%,43.70%,33.80%,22.50%,6195
Yolmer Sanchez,White Sox,26,1.8,86.7,9.3,27.80%,34.30%,87.00%,37.30%,35.50%,27.20%,11602
Ryon Healy,Mariners,26,-0.9,89.6,12.3,41.40%,36.10%,90.80%,44.80%,34.80%,20.40%,15447
Evan Longoria,Giants,32,0.5,88.5,13.4,37.00%,33.10%,86.90%,41.90%,32.30%,25.80%,9368
Tim Anderson,White Sox,25,2,85.8,10.8,27.90%,40.30%,85.30%,44.40%,28.40%,27.20%,15172
Freddy Galvis,Padres,28,1.2,88.6,13.7,28.10%,36.80%,83.60%,38.10%,37.90%,24.00%,6609
Dansby Swanson,Braves,24,1.9,88,14.1,34.00%,36.50%,86.20%,42.70%,31.80%,25.50%,18314
Amed Rosario,Mets,22,1.5,87.8,7.7,32.20%,41.20%,85.10%,34.90%,41.30%,23.80%,15518
Manuel Margot,Padres,23,0.6,89.4,11.5,36.50%,29.00%,87.60%,39.50%,35.50%,24.90%,14712
Kyle Seager,Mariners,30,1.5,89.8,18.5,39.60%,29.10%,87.40%,44.10%,35.60%,20.30%,9785
Yangervis Solarte,Blue Jays,30,-1.3,87.1,14.1,32.00%,41.40%,92.20%,41.50%,34.50%,24.00%,5352
Kole Calhoun,Angels,30,0,90.4,12.1,42.70%,28.20%,81.80%,42.60%,35.20%,22.30%,11200
Miguel Rojas,Marlins,29,1,84.7,9.3,23.70%,35.20%,94.00%,32.70%,37.60%,29.60%,7802
Victor Martinez,Tigers,39,-1.7,87.8,14.1,30.40%,33.80%,91.40%,42.80%,32.00%,25.20%,393
Billy Hamilton,Reds,27,1.3,80.5,15.3,8.50%,29.90%,84.00%,34.70%,33.40%,31.80%,10199
Dee Gordon,Mariners,30,0,83.2,5.8,12.40%,41.40%,94.10%,32.90%,36.30%,30.80%,8203
Alcides Escobar,Royals,31,-0.3,84.6,10.6,21.50%,35.20%,88.20%,41.50%,34.10%,24.40%,6310
Chris Davis,Orioles,32,-3.2,89.3,15.1,40.10%,29.90%,78.30%,40.80%,32.30%,27.00%,9272
